unitNo,timeStamp,event,destination,long,lang,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,speed,un
465235,16/03/2016 03:31,START,Gillingham Depot,51.386099,0.56013,1,0,0,0,0,0,1,0,0,1,0.05,NULL
465235,16/03/2016 03:32,STOP,Gillingham Depot,51.386259,0.559713,0,0,0,0,0,0,1,0,0,1,0.44,NULL
465235,16/03/2016 03:32,START,Gillingham Depot,51.386266,0.559691,1,0,0,0,0,0,1,0,0,1,0.05,NULL
465235,16/03/2016 03:32,STOP,Gillingham Depot,51.386268,0.559682,0,0,0,0,0,0,1,0,0,1,0.02,NULL
465235,16/03/2016 03:32,START,Gillingham Depot,51.386276,0.559641,1,0,0,0,0,0,1,0,0,1,0.02,NULL
465235,16/03/2016 03:32,STOP,Gillingham Depot,51.386278,0.559633,0,0,0,0,0,0,1,0,0,1,0.05,NULL
465235,16/03/2016 03:32,START,Gillingham Depot,51.386296,0.559598,1,0,0,0,0,0,1,0,0,1,0.02,NULL
465235,16/03/2016 03:32,STOP,Gillingham Depot,51.386299,0.55959,1,0,0,0,0,0,1,0,0,1,0,NULL
465235,16/03/2016 03:32,START,Gillingham Depot,51.386298,0.559596,1,0,0,0,0,0,1,0,0,1,0.05,NULL
465235,16/03/2016 03:32,STOP,Gillingham Depot,51.386296,0.559602,0,0,0,0,0,0,1,0,0,1,0.36,NULL
465235,16/03/2016 03:32,START,Gillingham Depot,51.386303,0.559588,1,0,0,0,0,0,1,0,0,1,0.02,NULL
465235,16/03/2016 03:32,STOP,Gillingham Depot,51.386301,0.559588,1,0,0,0,0,0,1,0,0,1,-0.02,NULL
465235,16/03/2016 03:32,START,Gillingham Depot,51.3863,0.55959,1,0,0,0,0,0,1,0,0,1,0.39,NULL
465235,16/03/2016 03:32,STOP,Gillingham Depot,51.386296,0.559597,0,0,0,0,0,0,1,1,0,1,0.41,NULL
465235,16/03/2016 03:39,START,Gillingham Depot,51.386366,0.559436,1,0,0,0,0,0,1,0,0,0,0.02,NULL
465235,16/03/2016 03:39,STOP,Gillingham Depot,51.386366,0.559436,1,0,0,0,0,0,1,0,0,0,0,NULL
465235,16/03/2016 03:39,START,Gillingham Depot,51.386366,0.559438,1,0,0,0,0,0,1,0,0,0,0.02,NULL
465235,16/03/2016 03:39,STOP,Gillingham Depot,51.386182,0.560114,0,0,0,0,0,0,1,1,1,0,0.05,NULL
465235,16/03/2016 03:42,START,Gillingham Depot,51.386203,0.560321,1,0,0,0,0,0,1,0,0,0,0.05,NULL
465235,16/03/2016 03:42,STOP,Gillingham Depot,51.386201,0.560328,1,0,0,0,0,0,1,0,0,0,0,NULL
465235,16/03/2016 03:42,START,Gillingham Depot,51.386201,0.56033,1,0,0,0,0,0,1,0,0,0,0.7,NULL
465235,16/03/2016 03:43,STOP,Gillingham Depot,51.385717,0.562566,0,0,0,0,0,0,1,1,1,0,0.05,NULL
465235,16/03/2016 03:44,START,Gillingham Depot,51.385696,0.562647,1,0,0,0,0,0,1,0,0,0,0.05,NULL
465235,16/03/2016 03:44,STOP,Gillingham Depot,51.38563,0.563135,0,0,0,0,0,0,1,1,1,0,-0.02,NULL
465235,16/03/2016 03:45,START,Gillingham Depot,51.385619,0.5632,1,0,0,0,0,0,1,0,0,0,0.05,NULL
465235,16/03/2016 03:45,STOP,Gillingham Depot,51.385618,0.563201,1,0,0,0,0,0,1,0,0,0,-0.02,NULL
465235,16/03/2016 03:45,START,Gillingham Depot,51.385618,0.563202,1,0,0,0,0,0,1,0,0,0,0.75,NULL
465235,16/03/2016 03:47,STOP,Gillingham Depot,51.385106,0.565612,0,0,0,0,0,0,1,1,1,0,0.05,NULL
465235,16/03/2016 03:57,START,Gillingham Depot,51.385086,0.565719,1,0,0,0,0,0,1,0,0,0,0.02,NULL
465235,16/03/2016 03:58,STOP,Gillingham Depot,51.385086,0.565719,1,0,0,0,0,0,1,0,0,0,-0.02,NULL
465235,16/03/2016 03:58,START,Gillingham Depot,51.385086,0.565719,1,0,0,0,0,0,1,0,0,0,0.73,NULL
465235,16/03/2016 03:59,STOP,Gillingham Depot,51.385898,0.562719,0,0,0,0,0,0,1,1,0,0,0.73,NULL
465235,16/03/2016 04:52,START,Gillingham Depot,51.38592,0.562623,1,0,0,0,0,0,1,0,0,0,0.02,NULL
465235,16/03/2016 04:52,STOP,Gillingham Depot,51.38592,0.562623,1,0,0,0,0,0,1,0,0,0,-0.02,NULL
465235,16/03/2016 04:52,START,Gillingham Depot,51.38592,0.562623,1,0,0,0,0,0,1,0,0,0,0.05,NULL
465235,16/03/2016 04:52,STOP,Gillingham Depot,51.38592,0.562623,1,0,0,0,0,0,1,0,0,0,0,NULL
465235,16/03/2016 04:52,START,Gillingham Depot,51.38592,0.562623,1,0,0,0,0,0,1,0,0,0,0.73,NULL
465235,16/03/2016 04:54,STOP,Gillingham Depot,51.386316,0.561092,0,0,0,0,0,0,1,0,0,0,0.7,NULL
465235,16/03/2016 04:54,START,Gillingham Depot,51.386326,0.561048,1,0,0,0,0,0,1,0,0,0,0.02,NULL
465235,16/03/2016 04:54,STOP,Gillingham Depot,51.386328,0.561044,1,0,0,0,0,0,1,0,0,0,-0.02,NULL
465235,16/03/2016 04:54,START,Gillingham Depot,51.386329,0.561036,1,0,0,0,0,0,1,0,0,0,0.07,NULL
465235,16/03/2016 04:54,STOP,Gillingham Depot,51.386329,0.561028,0,0,0,0,0,0,1,1,1,0,0.36,NULL
465235,16/03/2016 05:15,START,Gillingham Depot,51.386335,0.560994,1,0,0,0,0,0,1,0,0,0,0.05,NULL
465235,16/03/2016 05:16,STOP,Gillingham Depot,51.386478,0.560508,0,0,0,0,0,0,1,1,1,0,0.41,NULL
465235,16/03/2016 05:20,START,Gillingham Depot,51.386468,0.560441,1,1,0,0,0,0,1,0,0,0,0.05,NULL
465235,16/03/2016 05:20,STOP,Gillingham Depot,51.386468,0.560441,1,1,0,0,0,0,1,0,0,0,0,NULL
465235,16/03/2016 05:20,START,Gillingham Depot,51.386468,0.560441,1,1,0,0,0,0,1,0,0,0,0.39,NULL
465235,16/03/2016 05:21,STOP,Gillingham,51.386924,0.551374,0,0,0,0,0,0,0,1,1,0,0.07,NULL
465235,16/03/2016 05:32,START,Gillingham,51.386902,0.551319,1,1,1,1,0,0,1,0,0,0,0.02,NULL
465235,16/03/2016 06:07,STOP,Sheerness-on-Sea,51.440367,0.757705,0,0,0,0,0,1,0,1,1,0,0.02,NULL
465235,16/03/2016 06:21,START,Sheerness-on-Sea,51.440406,0.757739,1,1,1,0,0,0,1,0,0,0,0.05,NULL
465235,16/03/2016 06:26,STOP,Queenborough,51.416041,0.749786,0,0,0,0,1,0,0,1,0,0,0.02,NULL
465235,16/03/2016 06:26,START,Queenborough,51.416017,0.74979,1,1,0,0,0,0,1,0,0,0,0.05,NULL
465235,16/03/2016 06:33,STOP,Kemsley,51.361503,0.734788,0,0,0,0,1,0,0,1,0,0,0,NULL
